"code","91007"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Dry"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
"2007-04-01",0
"2007-05-01",0
"2007-06-01",0
"2007-07-01",0
"2007-08-01",0
"2007-09-01",0
"2007-10-01",0
"2007-11-01",0
"2007-12-01",0
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",0
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","0"
"2009-08-01","0"
"2009-09-01","0"
"2009-10-01","0"
"2009-11-01","0"
"2009-12-01","0"
"2010-01-01","1.50999999046326"
"2010-02-01","1.46000003814697"
"2010-03-01","1.39999997615814"
"2010-04-01","1.29999995231628"
"2010-05-01","1.39999997615814"
"2010-06-01","1.39999997615814"
"2010-07-01","1"
"2010-08-01","1.39999997615814"
"2010-09-01","1.20000004768372"
"2010-10-01","1.29999995231628"
"2010-11-01","1.20000004768372"
"2010-12-01","1.39999997615814"
"2011-01-01","1.60000002384186"
"2011-02-01","1.20000004768372"
"2011-03-01","1.20000004768372"
"2011-04-01","1.29999995231628"
"2011-05-01","1.89999997615814"
"2011-06-01","2"
"2011-07-01","1.60000002384186"
"2011-08-01","1.29999995231628"
"2011-09-01","1"
"2011-10-01","2"
"2011-11-01","1.89999997615814"
"2011-12-01","2"
"2012-01-01","Seepage "
"2012-02-01","Seepage "
"2012-03-01","Seepage "
"2012-04-01","Seepage "
"2012-05-01","Seepage "
"2012-06-01","Seepage "
"2012-07-01","Seepage "
"2012-08-01","Seepage "
"2012-09-01","Seepage "
"2012-10-01","Seepage "
"2012-11-01","Seepage "
"2012-12-01","Seepage "
"2013-01-01","6.40000009536743"
"2013-02-01","7.59999990463257"
"2013-03-01","8"
"2013-04-01","9.19999980926514"
"2013-05-01","9.30000019073486"
"2013-06-01","7.80000019073486"
"2013-07-01","7.94999980926514"
"2013-08-01","7.90000009536743"
"2013-09-01","7.80000019073486"
"2013-10-01","7.65000009536743"
"2013-11-01","7.59999990463257"
"2013-12-01","7.80000019073486"
"2014-01-01","8.10000038146973"
"2014-02-01","8.5"
"2014-03-01","Seepage "
"2014-04-01","Seepage "
"2014-05-01","Seepage "
"2014-06-01","Seepage "
"2014-07-01","Seepage "
"2014-08-01","Seepage "
"2014-09-01","Seepage "
"2014-10-01","Seepage "
"2014-11-01","Seepage "
"2014-12-01","Seepage "
"2015-01-01","Seepage "
"2015-02-01","Seepage "
"2015-03-01","Seepage "
"2015-04-01","Seepage "
"2015-05-01","Seepage "
"2015-06-01","Seepage "
"2015-07-01","Seepage "
"2015-08-01","Seepage "
"2015-09-01","Seepage "
"2015-10-01","Seepage "
"2015-11-01","Seepage "
"2015-12-01","Seepage "
"2016-01-01","Seepage "
"2016-02-01","Seepage "
"2016-03-01","Seepage "
"2016-04-01","Seepage "
"2016-05-01","Seepage from drainage"
"2016-06-01","Seepage from drainage"
"2016-07-01","Seepage from drainage"
"2016-08-01","Seepage from drainage"
"2016-09-01","Seepage from drainage"
"2016-10-01","Seepage from drainage"
"2016-11-01","Seepage from drainage"
"2017-01-01",NA
"2017-02-01",NA
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01","-"
"2017-07-01","Dry"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Dry"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
"2007-04-01",0
"2007-05-01",0
"2007-06-01",0
"2007-07-01",0
"2007-08-01",0
"2007-09-01",0
"2007-10-01",0
"2007-11-01",0
"2007-12-01",0
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",0
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","0"
"2009-08-01","0"
"2009-09-01","0"
"2009-10-01","0"
"2009-11-01","0"
"2009-12-01","0"
"2010-01-01","1.50999999046326"
"2010-02-01","1.46000003814697"
"2010-03-01","1.39999997615814"
"2010-04-01","1.29999995231628"
"2010-05-01","1.39999997615814"
"2010-06-01","1.39999997615814"
"2010-07-01","1"
"2010-08-01","1.39999997615814"
"2010-09-01","1.20000004768372"
"2010-10-01","1.29999995231628"
"2010-11-01","1.20000004768372"
"2010-12-01","1.39999997615814"
"2011-01-01","1.60000002384186"
"2011-02-01","1.20000004768372"
"2011-03-01","1.20000004768372"
"2011-04-01","1.29999995231628"
"2011-05-01","1.89999997615814"
"2011-06-01","2"
"2011-07-01","1.60000002384186"
"2011-08-01","1.29999995231628"
"2011-09-01","1"
"2011-10-01","2"
"2011-11-01","1.89999997615814"
"2011-12-01","2"
"2012-01-01","Seepage "
"2012-02-01","Seepage "
"2012-03-01","Seepage "
"2012-04-01","Seepage "
"2012-05-01","Seepage "
"2012-06-01","Seepage "
"2012-07-01","Seepage "
"2012-08-01","Seepage "
"2012-09-01","Seepage "
"2012-10-01","Seepage "
"2012-11-01","Seepage "
"2012-12-01","Seepage "
"2013-01-01","6.40000009536743"
"2013-02-01","7.59999990463257"
"2013-03-01","8"
"2013-04-01","9.19999980926514"
"2013-05-01","9.30000019073486"
"2013-06-01","7.80000019073486"
"2013-07-01","7.94999980926514"
"2013-08-01","7.90000009536743"
"2013-09-01","7.80000019073486"
"2013-10-01","7.65000009536743"
"2013-11-01","7.59999990463257"
"2013-12-01","7.80000019073486"
"2014-01-01","8.10000038146973"
"2014-02-01","8.5"
"2014-03-01","Seepage "
"2014-04-01","Seepage "
"2014-05-01","Seepage "
"2014-06-01","Seepage "
"2014-07-01","Seepage "
"2014-08-01","Seepage "
"2014-09-01","Seepage "
"2014-10-01","Seepage "
"2014-11-01","Seepage "
"2014-12-01","Seepage "
"2015-01-01","Seepage "
"2015-02-01","Seepage "
"2015-03-01","Seepage "
"2015-04-01","Seepage "
"2015-05-01","Seepage "
"2015-06-01","Seepage "
"2015-07-01","Seepage "
"2015-08-01","Seepage "
"2015-09-01","Seepage "
"2015-10-01","Seepage "
"2015-11-01","Seepage "
"2015-12-01","Seepage "
"2016-01-01","Seepage "
"2016-02-01","Seepage "
"2016-03-01","Seepage "
"2016-04-01","Seepage "
"2016-05-01","Seepage from drainage"
"2016-06-01","Seepage from drainage"
"2016-07-01","Seepage from drainage"
"2016-08-01","Seepage from drainage"
"2016-09-01","Seepage from drainage"
"2016-10-01","Seepage from drainage"
"2016-11-01","Seepage from drainage"
"2017-01-01",NA
"2017-02-01",NA
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01","-"
"2017-07-01","Dry"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Dry"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
