"2012-03-01","14.2"
"2012-04-01","14.35"
"2012-05-01","14.45"
"2012-06-01","14.55"
"2012-07-01","14.5"
"2012-08-01","14.3"
"2012-09-01","14"
"2012-10-01","13.75"
"2012-11-01","15"
"2012-12-01","16.4"
"2013-01-01","Fiiled up"
"2013-02-01","Fiiled up"
"2013-03-01","Fiiled up"
"2013-04-01","Fiiled up"
"2013-05-01","Fiiled up"
"2013-06-01","Fiiled up"
"2013-07-01","Fiiled up"
"2013-08-01","Fiiled up"
"2013-09-01","Fiiled up"
"2013-10-01","Fiiled up"
"2013-11-01","Fiiled up"
"2013-12-01","Fiiled up"
"2014-01-01","24.4"
"2014-02-01","24.7"
"2014-03-01","25.05"
"2014-04-01","25.45"
"2014-05-01","25.75"
"2014-06-01","26"
"2014-07-01","26.05"
"2014-08-01","25.6"
"2014-09-01","25.3"
"2014-10-01","25.2"
"2014-11-01","25.2"
"2014-12-01","25.35"
"2015-01-01","25.45"
"2015-02-01","25.6"
"2015-03-01","25.8"
"2015-04-01","26"
"2015-05-01","26.15"
"2015-06-01","26"
"2015-07-01","26.6"
"2015-08-01","23.85"
"2015-09-01","19.35"
"2015-10-01","19.35"
"2015-11-01","19.5"
"2015-12-01","21"
"2016-01-01","22.1"
"2016-02-01","21.75"
"2016-03-01","23.12"
"2016-04-01","23.2"
"2016-05-01","22.8"
"2016-06-01","23.1"
"2016-07-01","23.75"
"2016-08-01","18.2"
"2016-09-01","18.9"
"2016-10-01","24.9"
"2016-11-01","23.35"
"2017-01-01","25.55"
"2017-02-01","25.75"
"2017-03-01","24.43"
"2017-04-01","24.45"
"2017-05-01","25"
"2017-06-01","25.2"
"2017-07-01","26.7"
"2017-08-01","23.1"
"2017-09-01","20.2"
"2017-10-01","11.5"
"2017-11-01","13.9"
"2017-12-01","14.7"
"2018-01-01","14.9"
"2018-02-01","15.2"
"2018-03-01","15.9"
"2018-04-01","16.6"
"2018-05-01","17.72"
"2018-06-01","16.77"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
"2007-04-01",23.95
"2007-05-01",23.25
"2007-06-01",23.25
"2007-07-01",20.1
"2007-08-01",18.35
"2007-09-01",13.3
"2007-10-01",11.3
"2007-11-01",12.1
"2007-12-01",12.6
"2008-04-01",14.75
"2008-05-01",14.75
"2008-06-01",14.75
"2008-07-01",16.39
"2008-08-01",16.5
"2008-09-01",16.65
"2008-10-01",16.6
"2008-11-01",16.85
"2008-12-01",16.95
"2009-04-01","17.47"
"2009-05-01","17.41"
"2009-06-01","17.47"
"2009-07-01","17.97"
"2009-08-01","18.22"
"2009-09-01","18.37"
"2009-10-01","18.15"
"2009-11-01","12.5"
"2009-12-01","12.5"
"2010-01-01","12.2"
"2010-02-01","13.48"
"2010-03-01","14.9"
"2010-04-01","16.2"
"2010-05-01","16.6"
"2010-06-01","14.2"
"2010-07-01","16.65"
"2010-08-01","16.4"
"2010-09-01","16"
"2010-10-01","15.8"
"2010-11-01","16"
"2010-12-01","15"
"2011-01-01","12.78"
"2011-02-01","12.9"
"2011-03-01","13"
"2011-04-01","13.2"
"2011-05-01","12.3"
"2011-06-01","12"
"2011-07-01","11.9"
"2011-08-01","11.8"
"2011-09-01","12"
"2011-10-01","12.5"
"2011-11-01","12.9"
"2011-12-01","13.2"
"2012-01-01","13.5"
"2012-02-01","13.9"
"2012-03-01","14.2"
"2012-04-01","14.35"
"2012-05-01","14.45"
"2012-06-01","14.55"
"2012-07-01","14.5"
"2012-08-01","14.3"
"2012-09-01","14"
"2012-10-01","13.75"
"2012-11-01","15"
"2012-12-01","16.4"
"2013-01-01","Fiiled up"
"2013-02-01","Fiiled up"
"2013-03-01","Fiiled up"
"2013-04-01","Fiiled up"
"2013-05-01","Fiiled up"
"2013-06-01","Fiiled up"
"2013-07-01","Fiiled up"
"2013-08-01","Fiiled up"
"2013-09-01","Fiiled up"
"2013-10-01","Fiiled up"
"2013-11-01","Fiiled up"
"2013-12-01","Fiiled up"
"2014-01-01","24.4"
"2014-02-01","24.7"
"2014-03-01","25.05"
"2014-04-01","25.45"
"2014-05-01","25.75"
"2014-06-01","26"
"2014-07-01","26.05"
"2014-08-01","25.6"
"2014-09-01","25.3"
"2014-10-01","25.2"
"2014-11-01","25.2"
"2014-12-01","25.35"
"2015-01-01","25.45"
"2015-02-01","25.6"
"2015-03-01","25.8"
"2015-04-01","26"
"2015-05-01","26.15"
"2015-06-01","26"
"2015-07-01","26.6"
"2015-08-01","23.85"
"2015-09-01","19.35"
"2015-10-01","19.35"
"2015-11-01","19.5"
"2015-12-01","21"
"2016-01-01","22.1"
"2016-02-01","21.75"
"2016-03-01","23.12"
"2016-04-01","23.2"
"2016-05-01","22.8"
"2016-06-01","23.1"
"2016-07-01","23.75"
"2016-08-01","18.2"
"2016-09-01","18.9"
"2016-10-01","24.9"
"2016-11-01","23.35"
"2017-01-01","25.55"
"2017-02-01","25.75"
"2017-03-01","24.43"
"2017-04-01","24.45"
"2017-05-01","25"
"2017-06-01","25.2"
"2017-07-01","26.7"
"2017-08-01","23.1"
"2017-09-01","20.2"
"2017-10-01","11.5"
"2017-11-01","13.9"
"2017-12-01","14.7"
"2018-01-01","14.9"
"2018-02-01","15.2"
"2018-03-01","15.9"
"2018-04-01","16.6"
"2018-05-01","17.72"
"2018-06-01","16.77"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
