"code","91006"
"taluk","Mundragi"
"village","DONI"
"lat","15.295"
"long","75.72583"
"2015-11-01","Dry"
"2015-12-01","Dry"
"2016-01-01","Dry"
"2016-02-01","Dry"
"2016-03-01","Dry"
"2016-04-01","Dry"
"2016-05-01","Dry"
"2016-06-01","Dry"
"2016-07-01","Dry"
"2016-08-01","Dry"
"2016-09-01","Dry"
"2016-10-01","Dry"
"2016-11-01","Dry"
"2017-01-01",NA
"2017-02-01","11.25"
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01","43.44"
"2017-07-01","Dry"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Dry"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
"2007-04-01",0
"2007-05-01",0
"2007-06-01",0
"2007-07-01",9.62
"2007-08-01",8.37
"2007-09-01",0
"2007-10-01",5
"2007-11-01",0
"2007-12-01",0
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",0
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","0"
"2009-08-01","0"
"2009-09-01","0"
"2009-10-01","0"
"2009-11-01","0"
"2009-12-01","5.25"
"2010-01-01","5.47"
"2010-02-01","5.62"
"2010-03-01","5.9"
"2010-04-01","6.02"
"2010-05-01","6"
"2010-06-01","6.1"
"2010-07-01","5.85"
"2010-08-01","5.65"
"2010-09-01","5.5"
"2010-10-01","4.92"
"2010-11-01","4.75"
"2010-12-01","5.22"
"2011-01-01","5.72"
"2011-02-01","6"
"2011-03-01","5.71999979019165"
"2011-04-01","6"
"2011-05-01","5.59999990463257"
"2011-06-01","5.90000009536743"
"2011-07-01","6"
"2011-08-01","5.42000007629395"
"2011-09-01","5.59999990463257"
"2011-10-01","6"
"2011-11-01","5.69999980926514"
"2011-12-01","5.90000009536743"
"2012-01-01","6.5"
"2012-02-01","6.69999980926514"
"2012-03-01","7.75"
"2012-04-01","8.5"
"2012-05-01","9"
"2012-06-01","9.30000019073486"
"2012-07-01","9.19999980926514"
"2012-08-01","8.89999961853027"
"2012-09-01","8.5"
"2012-10-01","8.19999980926514"
"2012-11-01","7.59999990463257"
"2012-12-01","7.40000009536743"
"2013-01-01","7.65000009536743"
"2013-02-01","7.94999980926514"
"2013-03-01","8.35000038146973"
"2013-04-01","8.80000019073486"
"2013-05-01","8.69999980926514"
"2013-06-01","8.5"
"2013-07-01","8.35000038146973"
"2013-08-01","8.19999980926514"
"2013-09-01","8.10000038146973"
"2013-10-01","8"
"2013-11-01","7.90000009536743"
"2013-12-01","8.10000038146973"
"2014-01-01","8.39999961853027"
"2014-02-01","8.80000019073486"
"2014-03-01","9.25"
"2014-04-01","9.72999954223633"
"2014-05-01","10.1000003814697"
"2014-06-01","10.3999996185303"
"2014-07-01","10.3999996185303"
"2014-08-01","9.89999961853027"
"2014-09-01","9.60000038146973"
"2014-10-01","9.5"
"2014-11-01","9.5"
"2014-12-01","9.69999980926514"
"2015-01-01","9.94999980926514"
"2015-02-01","10.25"
"2015-03-01","10.6000003814697"
"2015-04-01","10.8999996185303"
"2015-05-01","11.1000003814697"
"2015-06-01","10.6499996185303"
"2015-07-01","10.6999998092651"
"2015-08-01","10.6999998092651"
"2015-09-01","Dry"
"2015-10-01","Dry"
"2015-11-01","Dry"
"2015-12-01","Dry"
"2016-01-01","Dry"
"2016-02-01","Dry"
"2016-03-01","Dry"
"2016-04-01","Dry"
"2016-05-01","Dry"
"2016-06-01","Dry"
"2016-07-01","Dry"
"2016-08-01","Dry"
"2016-09-01","Dry"
"2016-10-01","Dry"
"2016-11-01","Dry"
"2017-01-01",NA
"2017-02-01","11.25"
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01","43.44"
"2017-07-01","Dry"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Dry"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
